# generated by .rubies/generate-golden.sh -- do not edit
# regenerate with: make rubies-golden
file	1.9	2.0	2.1	2.3	2.5	2.6	2.7	3.0	3.1	3.2	3.4	4.0
internal/integrationtest/testdata/gems/esolang-book-sources/1-1/01.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-1/03.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-1/04.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-1/05.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-1/06.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-1/07.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-1/08.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-2/01.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-2/02.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-2/04.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-2/06.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-3/05.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-3/06.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-3/07.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-3/08.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-3/09.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-3/10.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-4/03.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-4/04.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-4/05.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-4/06.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-4/08.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-4/09.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/1-4/10.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/2-1/02.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/2-2/01.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/2-2/02.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/2-2/03.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/2-2/04.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/2-2/11.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/bolic/bolic.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/brainf_ck/brainf_ck.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/compat.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/hq9plus/hq9plus.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/starry/starry.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/whitespace/lib/whitespace.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
